,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,w_svptWon_pct,l_svptWon_pct
2663,2011-747,Beijing,Hard,A,20111003,9,103344,Ivan Ljubicic,R,193.0,CRO,32.54,104559,Teymuraz Gabashvili,R,188.0,RUS,26.36,7-5 7-5,3,R32,98.0,14.0,3.0,56.0,37.0,30.0,10.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1375.0,128.0,432.0,0.25,0.05,0.66,0.34,0.54,0.18,9.0,3.0,,,,,,,0.73,0.0
2668,2011-747,Beijing,Hard,A,20111003,14,103656,Albert Montanes,R,175.0,ESP,30.85,104154,Paul Capdeville,R,190.0,CHI,28.5,6-3 6-3,3,R32,53.0,12.0,1.0,47.0,25.0,24.0,13.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,825.0,103.0,563.0,0.26,0.02,0.53,0.47,0.51,0.28,9.0,0.0,,,,,,,0.81,0.0
