,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
53,2000-891,Chennai,Hard,A,20000103,23,102106,Davide Sanguinetti,R,188.0,ITA,27.36,103714,Andreas Vinciguerra,L,180.0,SWE,18.87,2-6 7-5 6-3,3,R16,114.0,8.0,2.0,104.0,62.0,43.0,16.0,15.0,9.0,14.0,1.0,2.0,96.0,54.0,35.0,19.0,14.0,7.0,12.0,120.0,306.0,98.0,377.0,0.08,0.02,0.6,0.4,0.41,0.15,15.0,14.0,0.01,0.02,0.56,0.44,0.36,0.2,2000,25-29
56,2000-891,Chennai,Hard,A,20000103,26,102259,Jerome Golmard,L,188.0,FRA,26.32,102965,Jamie Delgado,R,178.0,GBR,22.79,6-3 6-4,3,QF,69.0,8.0,3.0,56.0,34.0,29.0,12.0,10.0,5.0,6.0,4.0,3.0,51.0,27.0,20.0,11.0,9.0,5.0,8.0,35.0,666.0,161.0,247.0,0.14,0.05,0.61,0.39,0.52,0.21,12.0,7.0,0.08,0.06,0.53,0.47,0.39,0.22,2000,25-29
59,2000-891,Chennai,Hard,A,20000103,29,102259,Jerome Golmard,L,188.0,FRA,26.32,102093,Martin Damm,R,188.0,CZE,27.42,3-6 6-3 6-3,3,SF,100.0,11.0,0.0,71.0,44.0,38.0,15.0,13.0,1.0,2.0,12.0,0.0,92.0,50.0,37.0,21.0,14.0,5.0,8.0,35.0,666.0,104.0,296.0,0.15,0.0,0.62,0.38,0.54,0.21,15.0,12.0,0.13,0.0,0.54,0.46,0.4,0.23,2000,25-29
61,2000-891,Chennai,Hard,A,20000103,31,102259,Jerome Golmard,L,188.0,FRA,26.32,103082,Markus Hantschk,R,188.0,GER,22.12,6-3 6-7(6) 6-3,3,F,148.0,8.0,1.0,88.0,65.0,49.0,13.0,14.0,2.0,3.0,10.0,4.0,123.0,74.0,53.0,18.0,16.0,9.0,14.0,35.0,666.0,128.0,273.0,0.09,0.01,0.74,0.26,0.56,0.15,18.0,12.0,0.08,0.03,0.6,0.4,0.43,0.15,2000,25-29
62,2000-451,Doha,Hard,A,20000103,1,103017,Nicolas Kiefer,R,183.0,GER,22.5,101543,Jeff Tarango,L,180.0,USA,31.12,7-6(6) 7-6(6),3,R32,128.0,8.0,6.0,83.0,47.0,37.0,16.0,12.0,1.0,3.0,5.0,2.0,83.0,53.0,36.0,17.0,12.0,2.0,4.0,6.0,1757.0,55.0,562.0,0.1,0.07,0.57,0.43,0.45,0.19,12.0,12.0,0.06,0.02,0.64,0.36,0.43,0.2,2000,20-24
70,2000-451,Doha,Hard,A,20000103,9,101772,Andrei Cherkasov,R,180.0,RUS,29.5,102271,Hicham Arazi,L,175.0,MAR,26.21,6-2 6-4,3,R32,76.0,3.0,0.0,42.0,28.0,23.0,11.0,9.0,0.0,1.0,6.0,1.0,66.0,41.0,24.0,9.0,9.0,6.0,10.0,217.0,148.0,36.0,601.0,0.07,0.0,0.67,0.33,0.55,0.26,12.0,6.0,0.09,0.02,0.62,0.38,0.36,0.14,2000,25-29
71,2000-451,Doha,Hard,A,20000103,10,102025,Mikael Tillstrom,R,185.0,SWE,27.83,101964,Goran Ivanisevic,L,193.0,CRO,28.31,7-6(2) 6-4,3,R32,82.0,7.0,0.0,66.0,46.0,34.0,14.0,11.0,0.0,1.0,8.0,5.0,79.0,44.0,30.0,19.0,11.0,5.0,7.0,79.0,365.0,62.0,517.0,0.11,0.0,0.7,0.3,0.52,0.21,12.0,10.0,0.1,0.06,0.56,0.44,0.38,0.24,2000,25-29
76,2000-451,Doha,Hard,A,20000103,15,103018,Max Mirnyi,R,196.0,BLR,22.49,103264,Mariano Puerta,L,180.0,ARG,21.29,7-5 6-2,3,R32,71.0,10.0,0.0,66.0,53.0,40.0,7.0,10.0,4.0,4.0,2.0,1.0,58.0,43.0,25.0,10.0,10.0,6.0,9.0,74.0,417.0,101.0,355.0,0.15,0.0,0.8,0.2,0.61,0.11,13.0,7.0,0.03,0.02,0.74,0.26,0.43,0.17,2000,20-24
79,2000-451,Doha,Hard,A,20000103,18,102854,Sjeng Schalken,R,193.0,NED,23.32,102644,Franco Squillari,L,183.0,ARG,24.37,4-6 6-1 6-1,3,R16,91.0,1.0,5.0,66.0,28.0,24.0,22.0,12.0,1.0,2.0,4.0,7.0,90.0,46.0,31.0,15.0,12.0,10.0,15.0,44.0,576.0,52.0,634.0,0.02,0.08,0.42,0.58,0.36,0.33,16.0,8.0,0.04,0.08,0.51,0.49,0.34,0.17,2000,20-24
93,2000-301,Auckland,Hard,A,20000110,1,103163,Tommy Haas,R,188.0,GER,21.77,101543,Jeff Tarango,L,180.0,USA,31.14,7-5 4-6 7-5,3,R32,108.0,18.0,4.0,96.0,49.0,39.0,28.0,17.0,3.0,5.0,7.0,8.0,106.0,55.0,39.0,29.0,17.0,4.0,7.0,11.0,1612.0,63.0,595.0,0.19,0.04,0.51,0.49,0.41,0.29,18.0,16.0,0.07,0.08,0.52,0.48,0.37,0.27,2000,20-24
94,2000-301,Auckland,Hard,A,20000110,2,102607,Juan Balcells,R,190.0,ESP,24.56,102644,Franco Squillari,L,183.0,ARG,24.39,7-5 7-5,3,R32,85.0,5.0,3.0,76.0,52.0,39.0,13.0,12.0,5.0,6.0,5.0,10.0,74.0,32.0,25.0,18.0,12.0,3.0,6.0,211.0,157.0,49.0,723.0,0.07,0.04,0.68,0.32,0.51,0.17,14.0,10.0,0.07,0.14,0.43,0.57,0.34,0.24,2000,20-24
