,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
638,2003-481,Copenhagen,Hard,A,20030224,15,103714,Andreas Vinciguerra,L,180.0,SWE,22.01,103408,Brian Vahaly,R,183.0,USA,23.6,6-4 6-4,3,R32,64.0,6.0,0.0,50.0,35.0,30.0,10.0,10.0,0.0,0.0,2.0,5.0,65.0,43.0,28.0,11.0,10.0,5.0,7.0,117.0,333.0,82.0,519.0,0.12,0.0,0.7,0.3,0.6,0.2,12.0,8.0,0.03,0.08,0.66,0.34,0.43,0.17,2003,20-24
639,2003-481,Copenhagen,Hard,A,20030224,16,101885,Wayne Arthurs,L,190.0,AUS,31.94,103133,Olivier Mutis,R,175.0,FRA,25.06,7-6(5) 6-2,3,R32,68.0,17.0,5.0,67.0,42.0,33.0,13.0,10.0,2.0,2.0,1.0,7.0,67.0,44.0,29.0,12.0,10.0,2.0,4.0,45.0,750.0,96.0,418.0,0.25,0.07,0.63,0.37,0.49,0.19,12.0,8.0,0.01,0.1,0.66,0.34,0.43,0.18,2003,30-34
651,2003-481,Copenhagen,Hard,A,20030224,28,101885,Wayne Arthurs,L,190.0,AUS,31.94,102796,Magnus Norman,R,188.0,SWE,26.74,6-7(7) 7-5 6-4,3,QF,137.0,22.0,5.0,110.0,61.0,50.0,28.0,17.0,2.0,2.0,7.0,2.0,108.0,70.0,55.0,20.0,17.0,4.0,6.0,45.0,750.0,98.0,413.0,0.2,0.05,0.55,0.45,0.45,0.25,19.0,15.0,0.06,0.02,0.65,0.35,0.51,0.19,2003,30-34
653,2003-481,Copenhagen,Hard,A,20030224,30,102344,Karol Kucera,R,188.0,SVK,28.98,101885,Wayne Arthurs,L,190.0,AUS,31.94,6-2 6-4,3,SF,60.0,4.0,0.0,39.0,21.0,20.0,16.0,9.0,0.0,0.0,2.0,1.0,52.0,30.0,26.0,5.0,9.0,1.0,4.0,53.0,683.0,45.0,750.0,0.1,0.0,0.54,0.46,0.51,0.41,12.0,6.0,0.04,0.02,0.58,0.42,0.5,0.1,2003,25-29
655,2003-495,Dubai,Hard,A,20030224,1,103819,Roger Federer,R,185.0,SUI,21.55,103789,Irakli Labadze,L,188.0,GEO,21.71,6-3 6-3,3,R32,63.0,2.0,2.0,50.0,31.0,25.0,10.0,9.0,3.0,4.0,4.0,8.0,66.0,31.0,19.0,17.0,9.0,7.0,11.0,5.0,2580.0,103.0,379.0,0.04,0.04,0.62,0.38,0.5,0.2,12.0,6.0,0.06,0.12,0.47,0.53,0.29,0.26,2003,20-24
657,2003-495,Dubai,Hard,A,20030224,3,102271,Hicham Arazi,L,175.0,MAR,29.35,102788,Jan Vacek,R,198.0,CZE,26.79,6-2 6-1,3,R32,126.0,2.0,0.0,50.0,28.0,17.0,16.0,8.0,4.0,5.0,2.0,2.0,44.0,26.0,12.0,5.0,7.0,6.0,11.0,113.0,348.0,118.0,324.0,0.04,0.0,0.56,0.44,0.34,0.32,12.0,3.0,0.05,0.05,0.59,0.41,0.27,0.11,2003,25-29
664,2003-495,Dubai,Hard,A,20030224,10,102148,Fabrice Santoro,R,178.0,FRA,30.21,102905,Stefan Koubek,L,175.0,AUT,26.14,6-7(1) 6-2 6-0,3,R32,128.0,1.0,3.0,79.0,47.0,34.0,19.0,13.0,3.0,4.0,0.0,2.0,89.0,50.0,30.0,18.0,13.0,9.0,15.0,33.0,1045.0,50.0,700.0,0.01,0.04,0.59,0.41,0.43,0.24,18.0,8.0,0.0,0.02,0.56,0.44,0.34,0.2,2003,30-34
668,2003-495,Dubai,Hard,A,20030224,14,103852,Feliciano Lopez,L,188.0,ESP,21.43,102957,Vadim Kutsenko,R,180.0,RUS,25.94,7-6(5) 6-2,3,R32,60.0,12.0,4.0,59.0,36.0,34.0,11.0,10.0,1.0,1.0,2.0,8.0,65.0,35.0,23.0,16.0,10.0,4.0,6.0,64.0,613.0,164.0,234.0,0.2,0.07,0.61,0.39,0.58,0.19,12.0,8.0,0.03,0.12,0.54,0.46,0.35,0.25,2003,20-24
672,2003-495,Dubai,Hard,A,20030224,18,102271,Hicham Arazi,L,175.0,MAR,29.35,102338,Yevgeny Kafelnikov,R,190.0,RUS,29.02,6-4 4-6 6-3,3,R16,92.0,6.0,4.0,81.0,47.0,37.0,20.0,14.0,4.0,6.0,4.0,1.0,85.0,63.0,40.0,12.0,15.0,3.0,7.0,113.0,348.0,23.0,1235.0,0.07,0.05,0.58,0.42,0.46,0.25,16.0,13.0,0.05,0.01,0.74,0.26,0.47,0.14,2003,25-29
677,2003-495,Dubai,Hard,A,20030224,23,103852,Feliciano Lopez,L,188.0,ESP,21.43,101962,Younes El Aynaoui,R,193.0,MAR,31.45,7-6(2) 7-6(5),3,R16,93.0,6.0,2.0,75.0,45.0,35.0,23.0,12.0,3.0,3.0,10.0,0.0,80.0,56.0,42.0,14.0,12.0,2.0,2.0,64.0,613.0,21.0,1470.0,0.08,0.03,0.6,0.4,0.47,0.31,12.0,12.0,0.12,0.0,0.7,0.3,0.52,0.18,2003,20-24
679,2003-495,Dubai,Hard,A,20030224,25,103819,Roger Federer,R,185.0,SUI,21.55,102271,Hicham Arazi,L,175.0,MAR,29.35,7-5 6-3,3,QF,78.0,4.0,1.0,77.0,53.0,36.0,13.0,11.0,6.0,8.0,1.0,1.0,63.0,39.0,26.0,10.0,10.0,2.0,6.0,5.0,2580.0,113.0,348.0,0.05,0.01,0.69,0.31,0.47,0.17,13.0,8.0,0.02,0.02,0.62,0.38,0.41,0.16,2003,20-24
682,2003-495,Dubai,Hard,A,20030224,28,103990,Tommy Robredo,R,180.0,ESP,20.82,103852,Feliciano Lopez,L,188.0,ESP,21.43,6-7(4) 6-3 6-4,3,QF,111.0,2.0,3.0,91.0,70.0,54.0,12.0,16.0,0.0,0.0,8.0,3.0,104.0,63.0,49.0,18.0,15.0,5.0,7.0,34.0,1020.0,64.0,613.0,0.02,0.03,0.77,0.23,0.59,0.13,18.0,13.0,0.08,0.03,0.61,0.39,0.47,0.17,2003,20-24
687,2003-499,Delray Beach,Hard,A,20030303,2,101897,Fernando Meligeni,L,180.0,BRA,31.89,102722,Attila Savolt,R,183.0,HUN,27.07,6-3 6-4,3,R32,82.0,3.0,3.0,57.0,35.0,27.0,12.0,10.0,0.0,1.0,3.0,4.0,61.0,35.0,26.0,8.0,9.0,4.0,7.0,106.0,375.0,99.0,404.0,0.05,0.05,0.61,0.39,0.47,0.21,12.0,7.0,0.05,0.07,0.57,0.43,0.43,0.13,2003,30-34
689,2003-499,Delray Beach,Hard,A,20030303,4,103789,Irakli Labadze,L,188.0,GEO,21.73,103171,Raemon Sluiter,R,185.0,NED,24.89,7-6(6) 7-5,3,R32,102.0,15.0,6.0,78.0,47.0,39.0,16.0,12.0,3.0,4.0,7.0,5.0,93.0,48.0,36.0,23.0,12.0,8.0,10.0,104.0,379.0,53.0,698.0,0.19,0.08,0.6,0.4,0.5,0.21,13.0,11.0,0.08,0.05,0.52,0.48,0.39,0.25,2003,20-24
690,2003-499,Delray Beach,Hard,A,20030303,5,102701,Marcelo Rios,L,175.0,CHI,27.18,103319,Jeff Morrison,R,185.0,USA,24.07,6-3 6-3,3,R32,59.0,3.0,1.0,55.0,32.0,27.0,13.0,9.0,5.0,6.0,1.0,3.0,58.0,34.0,21.0,11.0,9.0,4.0,8.0,30.0,1105.0,111.0,358.0,0.05,0.02,0.58,0.42,0.49,0.24,12.0,6.0,0.02,0.05,0.59,0.41,0.36,0.19,2003,25-29
691,2003-499,Delray Beach,Hard,A,20030303,6,103280,Martin Verkerk,R,196.0,NED,24.34,103672,Ricardo Mello,L,175.0,BRA,22.2,7-6(5) 6-4,3,R32,77.0,12.0,0.0,68.0,51.0,42.0,11.0,11.0,1.0,1.0,5.0,2.0,70.0,51.0,38.0,11.0,11.0,4.0,5.0,67.0,604.0,126.0,295.0,0.18,0.0,0.75,0.25,0.62,0.16,12.0,10.0,0.07,0.03,0.73,0.27,0.54,0.16,2003,20-24
694,2003-499,Delray Beach,Hard,A,20030303,9,102434,Vincent Spadea,R,183.0,USA,28.62,103566,Michael Llodra,L,190.0,FRA,22.79,6-3 6-0,3,R32,51.0,1.0,2.0,33.0,17.0,12.0,10.0,7.0,2.0,4.0,1.0,5.0,54.0,33.0,12.0,7.0,8.0,3.0,10.0,55.0,685.0,109.0,364.0,0.03,0.06,0.52,0.48,0.36,0.3,12.0,3.0,0.02,0.09,0.61,0.39,0.22,0.13,2003,25-29
698,2003-499,Delray Beach,Hard,A,20030303,13,103470,Robert Kendrick,R,190.0,USA,23.3,102905,Stefan Koubek,L,175.0,AUT,26.16,6-4 6-4,3,R32,73.0,8.0,3.0,53.0,35.0,31.0,10.0,10.0,0.0,0.0,3.0,2.0,82.0,55.0,36.0,13.0,10.0,13.0,15.0,162.0,234.0,52.0,700.0,0.15,0.06,0.66,0.34,0.58,0.19,12.0,8.0,0.04,0.02,0.67,0.33,0.44,0.16,2003,20-24
702,2003-499,Delray Beach,Hard,A,20030303,17,103888,Mardy Fish,R,188.0,USA,21.23,101897,Fernando Meligeni,L,180.0,BRA,31.89,6-2 7-6(4),3,R16,90.0,7.0,4.0,60.0,31.0,27.0,16.0,10.0,0.0,0.0,0.0,2.0,76.0,53.0,32.0,12.0,10.0,6.0,8.0,66.0,604.0,106.0,375.0,0.12,0.07,0.52,0.48,0.45,0.27,12.0,8.0,0.0,0.03,0.7,0.3,0.42,0.16,2003,20-24
703,2003-499,Delray Beach,Hard,A,20030303,18,103252,Alberto Martin,R,175.0,ESP,24.53,103789,Irakli Labadze,L,188.0,GEO,21.73,6-4 6-2,3,R16,65.0,0.0,0.0,48.0,27.0,24.0,14.0,9.0,2.0,2.0,5.0,3.0,53.0,32.0,22.0,10.0,9.0,3.0,6.0,68.0,598.0,104.0,379.0,0.0,0.0,0.56,0.44,0.5,0.29,12.0,6.0,0.09,0.06,0.6,0.4,0.42,0.19,2003,20-24
704,2003-499,Delray Beach,Hard,A,20030303,19,102701,Marcelo Rios,L,175.0,CHI,27.18,103280,Martin Verkerk,R,196.0,NED,24.34,2-6 6-4 7-5,3,R16,112.0,6.0,3.0,86.0,49.0,38.0,20.0,15.0,3.0,5.0,10.0,7.0,94.0,58.0,45.0,17.0,15.0,4.0,6.0,30.0,1105.0,67.0,604.0,0.07,0.03,0.57,0.43,0.44,0.23,15.0,15.0,0.11,0.07,0.62,0.38,0.48,0.18,2003,25-29
711,2003-499,Delray Beach,Hard,A,20030303,26,102701,Marcelo Rios,L,175.0,CHI,27.18,102703,Hyung Taik Lee,R,180.0,KOR,27.16,6-3 6-4,3,QF,80.0,6.0,0.0,60.0,36.0,24.0,14.0,9.0,6.0,8.0,0.0,3.0,68.0,31.0,18.0,17.0,10.0,5.0,10.0,30.0,1105.0,63.0,627.0,0.1,0.0,0.6,0.4,0.4,0.23,12.0,7.0,0.0,0.04,0.46,0.54,0.26,0.25,2003,25-29
714,2003-499,Delray Beach,Hard,A,20030303,29,103888,Mardy Fish,R,188.0,USA,21.23,102701,Marcelo Rios,L,175.0,CHI,27.18,6-3 6-4,3,SF,68.0,11.0,1.0,61.0,32.0,29.0,16.0,10.0,3.0,3.0,4.0,3.0,53.0,34.0,22.0,11.0,9.0,3.0,5.0,66.0,604.0,30.0,1105.0,0.18,0.02,0.52,0.48,0.48,0.26,12.0,7.0,0.08,0.06,0.64,0.36,0.42,0.21,2003,20-24
718,2003-433,Scottsdale,Hard,A,20030303,2,101965,Wayne Ferreira,R,185.0,RSA,31.46,101885,Wayne Arthurs,L,190.0,AUS,31.96,7-5 6-7(5) 6-2,3,R32,110.0,10.0,3.0,100.0,53.0,44.0,28.0,16.0,5.0,6.0,14.0,4.0,102.0,59.0,44.0,18.0,16.0,6.0,10.0,32.0,1095.0,48.0,785.0,0.1,0.03,0.53,0.47,0.44,0.28,19.0,13.0,0.14,0.04,0.58,0.42,0.43,0.18,2003,30-34
726,2003-433,Scottsdale,Hard,A,20030303,10,102401,Scott Draper,L,178.0,AUS,28.74,102035,Jonas Bjorkman,R,183.0,SWE,30.94,6-3 7-6(5),3,R32,76.0,4.0,1.0,65.0,38.0,30.0,17.0,11.0,1.0,2.0,10.0,4.0,71.0,40.0,29.0,14.0,10.0,2.0,4.0,121.0,309.0,69.0,595.0,0.06,0.02,0.58,0.42,0.46,0.26,12.0,9.0,0.14,0.06,0.56,0.44,0.41,0.2,2003,25-29
727,2003-433,Scottsdale,Hard,A,20030303,11,102644,Franco Squillari,L,183.0,ARG,27.53,102106,Davide Sanguinetti,R,188.0,ITA,30.52,6-3 6-2,3,R32,74.0,2.0,2.0,63.0,32.0,24.0,17.0,9.0,8.0,9.0,3.0,3.0,61.0,33.0,23.0,9.0,8.0,5.0,9.0,85.0,494.0,62.0,628.0,0.03,0.03,0.51,0.49,0.38,0.27,12.0,5.0,0.05,0.05,0.54,0.46,0.38,0.15,2003,25-29
737,2003-433,Scottsdale,Hard,A,20030303,21,102882,Mark Philippoussis,R,196.0,AUS,26.32,102401,Scott Draper,L,178.0,AUS,28.74,6-0 6-4,3,R16,61.0,11.0,4.0,55.0,30.0,25.0,14.0,8.0,4.0,4.0,2.0,5.0,46.0,23.0,16.0,7.0,8.0,3.0,7.0,90.0,440.0,121.0,309.0,0.2,0.07,0.55,0.45,0.45,0.25,12.0,4.0,0.04,0.11,0.5,0.5,0.35,0.15,2003,25-29
738,2003-433,Scottsdale,Hard,A,20030303,22,103900,David Nalbandian,R,180.0,ARG,21.17,102644,Franco Squillari,L,183.0,ARG,27.53,6-2 7-6(5),3,R16,105.0,3.0,5.0,76.0,36.0,26.0,21.0,10.0,6.0,8.0,4.0,8.0,84.0,43.0,26.0,19.0,10.0,7.0,11.0,10.0,1965.0,85.0,494.0,0.04,0.07,0.47,0.53,0.34,0.28,12.0,8.0,0.05,0.1,0.51,0.49,0.31,0.23,2003,20-24
755,2003-404,Indian Wells Masters,Hard,M,20030310,8,103498,Marat Safin,R,193.0,RUS,23.12,102905,Stefan Koubek,L,175.0,AUT,26.18,3-6 6-3 7-5,3,R64,123.0,9.0,2.0,82.0,41.0,32.0,28.0,15.0,4.0,6.0,2.0,1.0,96.0,57.0,41.0,19.0,15.0,6.0,9.0,7.0,2235.0,53.0,700.0,0.11,0.02,0.5,0.5,0.39,0.34,16.0,14.0,0.02,0.01,0.59,0.41,0.43,0.2,2003,20-24
770,2003-404,Indian Wells Masters,Hard,M,20030310,23,102856,Gustavo Kuerten,R,190.0,BRA,26.49,101964,Goran Ivanisevic,L,193.0,CRO,31.49,6-2 6-4,3,R64,55.0,6.0,2.0,48.0,20.0,16.0,18.0,9.0,0.0,1.0,4.0,5.0,48.0,31.0,25.0,2.0,9.0,3.0,7.0,24.0,1230.0,684.0,18.0,0.12,0.04,0.42,0.58,0.33,0.38,12.0,6.0,0.08,0.1,0.65,0.35,0.52,0.04,2003,25-29
773,2003-404,Indian Wells Masters,Hard,M,20030310,26,103852,Feliciano Lopez,L,188.0,ESP,21.47,103103,Dominik Hrbaty,R,183.0,SVK,25.18,6-2 7-6(2),3,R64,75.0,7.0,2.0,64.0,31.0,30.0,18.0,10.0,4.0,4.0,3.0,2.0,64.0,52.0,31.0,8.0,10.0,2.0,4.0,63.0,643.0,55.0,697.0,0.11,0.03,0.48,0.52,0.47,0.28,12.0,8.0,0.05,0.03,0.81,0.19,0.48,0.12,2003,20-24
776,2003-404,Indian Wells Masters,Hard,M,20030310,29,102783,Rainer Schuettler,R,180.0,GER,26.87,101885,Wayne Arthurs,L,190.0,AUS,31.98,6-4 7-6(3),3,R64,97.0,3.0,5.0,69.0,37.0,27.0,22.0,11.0,3.0,4.0,11.0,6.0,78.0,39.0,27.0,20.0,11.0,2.0,4.0,15.0,1570.0,48.0,785.0,0.04,0.07,0.54,0.46,0.39,0.32,12.0,10.0,0.14,0.08,0.5,0.5,0.35,0.26,2003,25-29
792,2003-404,Indian Wells Masters,Hard,M,20030310,45,104053,Andy Roddick,R,188.0,USA,20.53,103852,Feliciano Lopez,L,188.0,ESP,21.47,6-4 6-3,3,R32,54.0,7.0,3.0,45.0,28.0,24.0,12.0,9.0,0.0,0.0,7.0,5.0,50.0,21.0,14.0,18.0,10.0,4.0,7.0,6.0,2275.0,63.0,643.0,0.16,0.07,0.62,0.38,0.53,0.27,12.0,7.0,0.14,0.1,0.42,0.58,0.28,0.36,2003,20-24
795,2003-404,Indian Wells Masters,Hard,M,20030310,48,103018,Max Mirnyi,R,196.0,BLR,25.68,102701,Marcelo Rios,L,175.0,CHI,27.2,6-3 6-3,3,R32,62.0,9.0,2.0,51.0,28.0,24.0,13.0,9.0,0.0,0.0,2.0,4.0,70.0,51.0,31.0,8.0,9.0,6.0,9.0,36.0,965.0,29.0,1120.0,0.18,0.04,0.55,0.45,0.47,0.25,12.0,6.0,0.03,0.06,0.73,0.27,0.44,0.11,2003,25-29
813,2003-403,Miami Masters,Hard,M,20030317,3,101897,Fernando Meligeni,L,180.0,BRA,31.93,103356,Michel Kratochvil,R,185.0,SUI,23.94,6-1 6-4,3,R128,76.0,4.0,4.0,61.0,32.0,22.0,19.0,9.0,3.0,4.0,1.0,4.0,49.0,34.0,20.0,6.0,8.0,5.0,9.0,99.0,385.0,78.0,530.0,0.07,0.07,0.52,0.48,0.36,0.31,12.0,5.0,0.02,0.08,0.69,0.31,0.41,0.12,2003,30-34
814,2003-403,Miami Masters,Hard,M,20030317,4,104068,Robby Ginepri,R,183.0,USA,20.44,101885,Wayne Arthurs,L,190.0,AUS,32.0,7-5 6-3,3,R128,65.0,4.0,2.0,57.0,32.0,25.0,18.0,11.0,1.0,2.0,9.0,5.0,61.0,28.0,20.0,15.0,10.0,3.0,6.0,61.0,652.0,47.0,770.0,0.07,0.04,0.56,0.44,0.44,0.32,13.0,8.0,0.15,0.08,0.46,0.54,0.33,0.25,2003,20-24
823,2003-403,Miami Masters,Hard,M,20030317,13,102998,Jan Michael Gambill,R,190.0,USA,25.79,102905,Stefan Koubek,L,175.0,AUT,26.2,2-6 6-3 6-2,3,R128,100.0,13.0,2.0,93.0,52.0,41.0,18.0,13.0,10.0,12.0,2.0,1.0,63.0,37.0,28.0,13.0,12.0,0.0,3.0,40.0,900.0,58.0,670.0,0.14,0.02,0.56,0.44,0.44,0.19,14.0,11.0,0.03,0.02,0.59,0.41,0.44,0.21,2003,25-29
829,2003-403,Miami Masters,Hard,M,20030317,19,103454,Nicolas Massu,R,183.0,CHI,23.43,102202,Kenneth Carlsen,L,190.0,DEN,29.91,6-4 6-3,3,R128,96.0,2.0,3.0,44.0,31.0,28.0,6.0,9.0,1.0,2.0,5.0,4.0,66.0,33.0,22.0,14.0,10.0,5.0,9.0,102.0,376.0,66.0,619.0,0.05,0.07,0.7,0.3,0.64,0.14,12.0,7.0,0.08,0.06,0.5,0.5,0.33,0.21,2003,20-24
832,2003-403,Miami Masters,Hard,M,20030317,22,102644,Franco Squillari,L,183.0,ARG,27.57,104339,Mario Ancic,R,196.0,CRO,18.96,6-7(5) 7-6(4) 6-4,3,R128,186.0,4.0,10.0,117.0,60.0,47.0,28.0,17.0,6.0,9.0,13.0,8.0,131.0,75.0,54.0,24.0,17.0,5.0,9.0,84.0,474.0,75.0,539.0,0.03,0.09,0.51,0.49,0.4,0.24,18.0,16.0,0.1,0.06,0.57,0.43,0.41,0.18,2003,25-29
839,2003-403,Miami Masters,Hard,M,20030317,29,102358,Thomas Enqvist,R,190.0,SWE,29.01,103566,Michael Llodra,L,190.0,FRA,22.83,6-4 6-7(5) 6-3,3,R128,123.0,5.0,4.0,98.0,52.0,42.0,25.0,16.0,1.0,2.0,13.0,8.0,101.0,50.0,41.0,23.0,15.0,2.0,5.0,87.0,455.0,115.0,334.0,0.05,0.04,0.53,0.47,0.43,0.26,18.0,13.0,0.13,0.08,0.5,0.5,0.41,0.23,2003,25-29
840,2003-403,Miami Masters,Hard,M,20030317,30,102882,Mark Philippoussis,R,196.0,AUS,26.35,103852,Feliciano Lopez,L,188.0,ESP,21.49,7-6(5) 6-4,3,R128,81.0,17.0,5.0,65.0,36.0,34.0,15.0,11.0,2.0,2.0,10.0,4.0,74.0,42.0,32.0,15.0,11.0,0.0,1.0,70.0,595.0,57.0,673.0,0.26,0.08,0.55,0.45,0.52,0.23,12.0,10.0,0.14,0.05,0.57,0.43,0.43,0.2,2003,25-29
843,2003-403,Miami Masters,Hard,M,20030317,33,101532,Francisco Clavet,L,183.0,ESP,34.39,103720,Lleyton Hewitt,R,180.0,AUS,22.06,6-4 6-4,3,R64,96.0,0.0,2.0,65.0,34.0,23.0,14.0,10.0,3.0,6.0,2.0,3.0,60.0,22.0,17.0,15.0,10.0,1.0,6.0,178.0,202.0,1.0,4630.0,0.0,0.03,0.52,0.48,0.35,0.22,12.0,8.0,0.03,0.05,0.37,0.63,0.28,0.25,2003,30-34
845,2003-403,Miami Masters,Hard,M,20030317,35,103484,James Blake,R,185.0,USA,23.22,101897,Fernando Meligeni,L,180.0,BRA,31.93,7-6(5) 6-2,3,R64,90.0,1.0,1.0,68.0,40.0,27.0,16.0,10.0,1.0,3.0,2.0,1.0,71.0,34.0,23.0,16.0,10.0,6.0,10.0,24.0,1285.0,99.0,385.0,0.01,0.01,0.59,0.41,0.4,0.24,12.0,8.0,0.03,0.01,0.48,0.52,0.32,0.23,2003,20-24
849,2003-403,Miami Masters,Hard,M,20030317,39,104269,Fernando Verdasco,L,188.0,ESP,19.33,103018,Max Mirnyi,R,196.0,BLR,25.69,1-6 7-6(5) 6-4,3,R64,131.0,5.0,3.0,107.0,86.0,52.0,13.0,14.0,7.0,10.0,12.0,4.0,98.0,48.0,37.0,27.0,15.0,5.0,7.0,160.0,235.0,34.0,1035.0,0.05,0.03,0.8,0.2,0.49,0.12,13.0,16.0,0.12,0.04,0.49,0.51,0.38,0.28,2003,<20
852,2003-403,Miami Masters,Hard,M,20030317,42,102701,Marcelo Rios,L,175.0,CHI,27.22,103758,Taylor Dent,R,188.0,USA,21.89,6-1 6-1,3,R64,59.0,3.0,0.0,47.0,32.0,24.0,8.0,7.0,2.0,2.0,0.0,5.0,49.0,29.0,16.0,5.0,7.0,4.0,9.0,31.0,1080.0,41.0,887.0,0.06,0.0,0.68,0.32,0.51,0.17,12.0,2.0,0.0,0.1,0.59,0.41,0.33,0.1,2003,25-29
864,2003-403,Miami Masters,Hard,M,20030317,54,102644,Franco Squillari,L,183.0,ARG,27.57,103990,Tommy Robredo,R,180.0,ESP,20.88,6-3 6-4,3,R64,105.0,2.0,1.0,73.0,45.0,31.0,10.0,10.0,6.0,9.0,1.0,4.0,63.0,46.0,25.0,6.0,9.0,6.0,11.0,84.0,474.0,25.0,1200.0,0.03,0.01,0.62,0.38,0.42,0.14,12.0,7.0,0.02,0.06,0.73,0.27,0.4,0.1,2003,25-29
873,2003-403,Miami Masters,Hard,M,20030317,63,103813,Jarkko Nieminen,L,185.0,FIN,21.65,103096,Arnaud Clement,R,173.0,FRA,25.25,6-2 6-1,3,R64,62.0,5.0,0.0,39.0,29.0,22.0,5.0,7.0,1.0,2.0,0.0,2.0,46.0,23.0,13.0,5.0,8.0,3.0,9.0,35.0,985.0,42.0,880.0,0.13,0.0,0.74,0.26,0.56,0.13,12.0,3.0,0.0,0.04,0.5,0.5,0.28,0.11,2003,20-24
875,2003-403,Miami Masters,Hard,M,20030317,65,102703,Hyung Taik Lee,R,180.0,KOR,27.2,101532,Francisco Clavet,L,183.0,ESP,34.39,4-6 6-2 6-1,3,R32,102.0,2.0,2.0,74.0,42.0,33.0,15.0,13.0,9.0,12.0,2.0,0.0,82.0,53.0,30.0,10.0,12.0,6.0,12.0,59.0,667.0,178.0,202.0,0.03,0.03,0.57,0.43,0.45,0.2,16.0,9.0,0.02,0.0,0.65,0.35,0.37,0.12,2003,25-29
878,2003-403,Miami Masters,Hard,M,20030317,68,102845,Carlos Moya,R,190.0,ESP,26.55,104269,Fernando Verdasco,L,188.0,ESP,19.33,7-6(5) 6-3,3,R32,83.0,3.0,1.0,54.0,28.0,24.0,17.0,10.0,0.0,1.0,2.0,3.0,75.0,51.0,28.0,15.0,11.0,4.0,7.0,5.0,2625.0,160.0,235.0,0.06,0.02,0.52,0.48,0.44,0.31,12.0,9.0,0.03,0.04,0.68,0.32,0.37,0.2,2003,25-29
879,2003-403,Miami Masters,Hard,M,20030317,69,102701,Marcelo Rios,L,175.0,CHI,27.22,103507,Juan Carlos Ferrero,R,183.0,ESP,23.09,6-3 7-6(2),3,R32,98.0,6.0,4.0,69.0,47.0,35.0,12.0,11.0,2.0,3.0,4.0,2.0,89.0,55.0,35.0,15.0,10.0,7.0,9.0,31.0,1080.0,3.0,3135.0,0.09,0.06,0.68,0.32,0.51,0.17,12.0,9.0,0.04,0.02,0.62,0.38,0.39,0.17,2003,25-29
885,2003-403,Miami Masters,Hard,M,20030317,75,102854,Sjeng Schalken,R,193.0,NED,26.52,102644,Franco Squillari,L,183.0,ARG,27.57,6-4 7-5,3,R32,100.0,1.0,3.0,63.0,43.0,30.0,10.0,11.0,4.0,7.0,1.0,3.0,68.0,33.0,18.0,17.0,11.0,1.0,6.0,14.0,1630.0,84.0,474.0,0.02,0.05,0.68,0.32,0.48,0.16,13.0,9.0,0.01,0.04,0.49,0.51,0.26,0.25,2003,25-29
890,2003-403,Miami Masters,Hard,M,20030317,80,101736,Andre Agassi,R,180.0,USA,32.88,103813,Jarkko Nieminen,L,185.0,FIN,21.65,6-2 6-0,3,R32,59.0,3.0,1.0,51.0,32.0,24.0,10.0,7.0,3.0,3.0,2.0,2.0,47.0,28.0,16.0,5.0,7.0,3.0,8.0,2.0,4295.0,35.0,985.0,0.06,0.02,0.63,0.37,0.47,0.2,12.0,2.0,0.04,0.04,0.6,0.4,0.34,0.11,2003,30-34
1026,2003-360,Casablanca,Clay,A,20030407,5,101897,Fernando Meligeni,L,180.0,BRA,31.99,103096,Arnaud Clement,R,173.0,FRA,25.3,6-4 5-7 6-2,3,R32,113.0,9.0,6.0,93.0,48.0,35.0,31.0,15.0,7.0,8.0,3.0,7.0,86.0,38.0,28.0,27.0,15.0,0.0,3.0,101.0,385.0,41.0,880.0,0.1,0.06,0.52,0.48,0.38,0.33,17.0,13.0,0.03,0.08,0.44,0.56,0.33,0.31,2003,30-34
1027,2003-360,Casablanca,Clay,A,20030407,6,102271,Hicham Arazi,L,175.0,MAR,29.46,103029,Mehdi Tahiri,R,183.0,MAR,25.69,6-1 7-6(12),3,R32,127.0,0.0,3.0,71.0,28.0,20.0,24.0,9.0,1.0,3.0,2.0,3.0,100.0,72.0,38.0,14.0,10.0,9.0,14.0,98.0,393.0,932.0,7.0,0.0,0.04,0.39,0.61,0.28,0.34,12.0,7.0,0.02,0.03,0.72,0.28,0.38,0.14,2003,25-29
