,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,w_svptWon_pct,l_svptWon_pct,round_num
3039,2003-1536,Madrid Masters,Hard,M,20031013,29,102562,Jiri Novak,R,190.0,CZE,28.56,102344,Karol Kucera,R,188.0,SVK,29.61,6-2 1-6 6-2,3,R32,87.0,3.0,3.0,40.0,30.0,40.0,26.0,12.0,4.0,7.0,5.0,5.0,39.0,21.0,28.0,38.0,11.0,5.0,9.0,12.0,1665.0,36.0,1008.0,0.08,0.08,0.75,0.25,1.0,0.65,13.0,10.0,0.13,0.13,0.54,0.46,0.72,0.97,1.53,1.57,3.0
3040,2003-1536,Madrid Masters,Hard,M,20031013,30,103428,Juan Ignacio Chela,R,190.0,ARG,24.12,103280,Martin Verkerk,R,196.0,NED,24.95,6-2 6-2,3,R32,56.0,1.0,3.0,30.0,17.0,22.0,22.0,8.0,0.0,1.0,3.0,5.0,22.0,13.0,26.0,21.0,8.0,5.0,10.0,44.0,845.0,15.0,1407.0,0.03,0.1,0.57,0.43,0.73,0.73,12.0,4.0,0.14,0.23,0.59,0.41,1.18,0.95,1.35,1.96,3.0
3041,2003-1536,Madrid Masters,Hard,M,20031013,31,103454,Nicolas Massu,R,183.0,CHI,24.01,102856,Gustavo Kuerten,R,190.0,BRA,27.09,6-3 7-5,3,R32,110.0,7.0,2.0,47.0,32.0,45.0,25.0,11.0,5.0,6.0,13.0,1.0,47.0,33.0,43.0,35.0,10.0,8.0,11.0,21.0,1192.0,20.0,1225.0,0.15,0.04,0.68,0.32,0.96,0.53,13.0,8.0,0.28,0.02,0.7,0.3,0.91,0.74,1.39,1.67,3.0
3042,2003-1536,Madrid Masters,Hard,M,20031013,32,104053,Andy Roddick,R,188.0,USA,21.12,103018,Max Mirnyi,R,196.0,BLR,26.27,6-1 6-7(9) 7-5,3,R32,121.0,21.0,3.0,70.0,44.0,53.0,37.0,15.0,3.0,3.0,9.0,4.0,72.0,48.0,63.0,42.0,16.0,7.0,11.0,2.0,4165.0,24.0,1160.0,0.3,0.04,0.63,0.37,0.76,0.53,19.0,12.0,0.12,0.06,0.67,0.33,0.88,0.58,1.19,1.18,3.0
3043,2003-1536,Madrid Masters,Hard,M,20031013,33,103507,Juan Carlos Ferrero,R,183.0,ESP,23.67,102456,Felix Mantilla,R,180.0,ESP,29.05,7-6(2) 7-6(0),3,R16,118.0,13.0,5.0,57.0,38.0,49.0,36.0,12.0,6.0,8.0,1.0,7.0,55.0,31.0,45.0,49.0,12.0,4.0,6.0,1.0,4195.0,19.0,1240.0,0.23,0.09,0.67,0.33,0.86,0.63,12.0,12.0,0.02,0.13,0.56,0.44,0.82,0.89,1.33,1.29,4.0
3044,2003-1536,Madrid Masters,Hard,M,20031013,34,103387,Paradorn Srichaphan,R,185.0,THA,24.33,102998,Jan Michael Gambill,R,190.0,USA,26.36,7-5 6-4,3,R16,80.0,9.0,3.0,48.0,34.0,40.0,24.0,11.0,2.0,2.0,8.0,1.0,42.0,30.0,38.0,24.0,11.0,3.0,5.0,11.0,1845.0,57.0,660.0,0.19,0.06,0.71,0.29,0.83,0.5,13.0,9.0,0.19,0.02,0.71,0.29,0.9,0.57,1.23,1.35,4.0
3045,2003-1536,Madrid Masters,Hard,M,20031013,35,103819,Roger Federer,R,185.0,SUI,22.18,103888,Mardy Fish,R,188.0,USA,21.84,6-3 7-6(4),3,R16,92.0,4.0,5.0,50.0,29.0,35.0,35.0,11.0,2.0,3.0,11.0,5.0,52.0,38.0,49.0,34.0,10.0,5.0,7.0,3.0,3825.0,25.0,1145.0,0.08,0.1,0.58,0.42,0.7,0.7,12.0,9.0,0.21,0.1,0.73,0.27,0.94,0.65,1.28,1.59,4.0
3046,2003-1536,Madrid Masters,Hard,M,20031013,36,103852,Feliciano Lopez,L,188.0,ESP,22.06,102845,Carlos Moya,R,190.0,ESP,27.13,6-7(5) 6-1 7-5,3,R16,130.0,17.0,8.0,77.0,50.0,58.0,48.0,16.0,6.0,7.0,4.0,3.0,67.0,41.0,57.0,51.0,15.0,7.0,11.0,35.0,1025.0,7.0,2705.0,0.22,0.1,0.65,0.35,0.75,0.62,19.0,12.0,0.06,0.04,0.61,0.39,0.85,0.76,1.22,1.3,4.0
3047,2003-1536,Madrid Masters,Hard,M,20031013,37,103206,Sebastien Grosjean,R,175.0,FRA,25.37,102434,Vincent Spadea,R,183.0,USA,29.23,6-3 6-2,3,R16,61.0,8.0,1.0,36.0,23.0,24.0,22.0,9.0,0.0,0.0,1.0,0.0,24.0,14.0,24.0,20.0,8.0,2.0,5.0,10.0,1970.0,33.0,1040.0,0.22,0.03,0.64,0.36,0.67,0.61,12.0,5.0,0.04,0.0,0.58,0.42,1.0,0.83,1.2,1.41,4.0
3048,2003-1536,Madrid Masters,Hard,M,20031013,38,101962,Younes El Aynaoui,R,193.0,MAR,32.08,104068,Robby Ginepri,R,183.0,USA,21.02,6-4 7-6(5),3,R16,96.0,8.0,1.0,54.0,39.0,55.0,28.0,11.0,5.0,6.0,10.0,3.0,47.0,31.0,46.0,29.0,11.0,3.0,5.0,18.0,1260.0,34.0,1040.0,0.15,0.02,0.72,0.28,1.02,0.52,12.0,10.0,0.21,0.06,0.66,0.34,0.98,0.62,1.45,1.49,4.0
3049,2003-1536,Madrid Masters,Hard,M,20031013,39,103428,Juan Ignacio Chela,R,190.0,ARG,24.12,102562,Jiri Novak,R,190.0,CZE,28.56,3-6 7-6(5) 6-2,3,R16,113.0,8.0,0.0,53.0,35.0,51.0,30.0,14.0,1.0,4.0,5.0,4.0,61.0,47.0,66.0,33.0,15.0,6.0,10.0,44.0,845.0,12.0,1665.0,0.15,0.0,0.66,0.34,0.96,0.57,15.0,14.0,0.08,0.07,0.77,0.23,1.08,0.54,1.46,1.45,4.0
3050,2003-1536,Madrid Masters,Hard,M,20031013,40,103454,Nicolas Massu,R,183.0,CHI,24.01,104053,Andy Roddick,R,188.0,USA,21.12,7-6(3) 6-2,3,R16,81.0,5.0,1.0,45.0,36.0,40.0,17.0,10.0,1.0,2.0,6.0,3.0,37.0,23.0,31.0,28.0,10.0,1.0,4.0,21.0,1192.0,2.0,4165.0,0.11,0.02,0.8,0.2,0.89,0.38,12.0,8.0,0.16,0.08,0.62,0.38,0.84,0.76,1.22,1.48,4.0
3051,2003-1536,Madrid Masters,Hard,M,20031013,41,103507,Juan Carlos Ferrero,R,183.0,ESP,23.67,103387,Paradorn Srichaphan,R,185.0,THA,24.33,6-4 6-2,3,QF,65.0,3.0,4.0,36.0,24.0,25.0,21.0,9.0,0.0,0.0,5.0,1.0,34.0,24.0,33.0,22.0,9.0,3.0,6.0,1.0,4195.0,11.0,1845.0,0.08,0.11,0.67,0.33,0.69,0.58,12.0,6.0,0.15,0.03,0.71,0.29,0.97,0.65,1.15,1.59,5.0
3052,2003-1536,Madrid Masters,Hard,M,20031013,42,103819,Roger Federer,R,185.0,SUI,22.18,103852,Feliciano Lopez,L,188.0,ESP,22.06,4-6 7-6(3) 6-4,3,QF,136.0,10.0,4.0,67.0,42.0,52.0,46.0,16.0,7.0,8.0,14.0,6.0,74.0,51.0,63.0,53.0,16.0,11.0,12.0,3.0,3825.0,35.0,1025.0,0.15,0.06,0.63,0.37,0.78,0.69,16.0,16.0,0.19,0.08,0.69,0.31,0.85,0.72,1.35,1.48,5.0
3053,2003-1536,Madrid Masters,Hard,M,20031013,43,101962,Younes El Aynaoui,R,193.0,MAR,32.08,103206,Sebastien Grosjean,R,175.0,FRA,25.37,3-6 7-6(6) 6-2,3,QF,110.0,4.0,1.0,60.0,44.0,58.0,22.0,14.0,2.0,3.0,10.0,2.0,61.0,34.0,41.0,45.0,15.0,1.0,3.0,18.0,1260.0,10.0,1970.0,0.07,0.02,0.73,0.27,0.97,0.37,15.0,14.0,0.16,0.03,0.56,0.44,0.67,0.74,1.3,1.45,5.0
3054,2003-1536,Madrid Masters,Hard,M,20031013,44,103454,Nicolas Massu,R,183.0,CHI,24.01,103428,Juan Ignacio Chela,R,190.0,ARG,24.12,6-7(5) 6-4 6-4,3,QF,177.0,4.0,4.0,72.0,58.0,79.0,30.0,16.0,6.0,7.0,5.0,1.0,69.0,43.0,61.0,45.0,16.0,11.0,14.0,21.0,1192.0,44.0,845.0,0.06,0.06,0.81,0.19,1.1,0.42,18.0,14.0,0.07,0.01,0.62,0.38,0.88,0.65,1.43,1.51,5.0
3055,2003-1536,Madrid Masters,Hard,M,20031013,45,103507,Juan Carlos Ferrero,R,183.0,ESP,23.67,103819,Roger Federer,R,185.0,SUI,22.18,6-4 4-6 6-4,3,SF,112.0,5.0,3.0,60.0,40.0,52.0,33.0,15.0,1.0,2.0,13.0,6.0,60.0,43.0,54.0,32.0,15.0,2.0,4.0,1.0,4195.0,3.0,3825.0,0.08,0.05,0.67,0.33,0.87,0.55,16.0,14.0,0.22,0.1,0.72,0.28,0.9,0.53,1.34,1.43,6.0
3056,2003-1536,Madrid Masters,Hard,M,20031013,46,103454,Nicolas Massu,R,183.0,CHI,24.01,101962,Younes El Aynaoui,R,193.0,MAR,32.08,7-5 6-4,3,SF,101.0,2.0,2.0,47.0,38.0,50.0,13.0,11.0,2.0,2.0,5.0,2.0,45.0,34.0,46.0,23.0,11.0,2.0,4.0,21.0,1192.0,18.0,1260.0,0.04,0.04,0.81,0.19,1.06,0.28,13.0,9.0,0.11,0.04,0.76,0.24,1.02,0.51,1.29,1.53,6.0
3057,2003-1536,Madrid Masters,Hard,M,20031013,47,103507,Juan Carlos Ferrero,R,183.0,ESP,23.67,103454,Nicolas Massu,R,183.0,CHI,24.01,6-3 6-4 6-3,5,F,150.0,11.0,1.0,58.0,40.0,53.0,32.0,14.0,4.0,5.0,9.0,1.0,48.0,32.0,59.0,30.0,14.0,5.0,10.0,1.0,4195.0,21.0,1192.0,0.19,0.02,0.69,0.31,0.91,0.55,18.0,10.0,0.19,0.02,0.67,0.33,1.23,0.62,1.38,1.64,7.0
